,Current Trading Date,Previous  Trading Date,Current Day Adjusted CLose Price,Previous Day Adjusted Close Price,Percentage Price Change,Current Volume,Previous Volume,Distribution_Day,vol_diff
1324,2013-01-24,2013-01-23,6019,6054,-0.58,185200,137000,True,48200
1327,2013-01-29,2013-01-28,6049,6074,-0.41,157600,113100,True,44500
1329,2013-01-31,2013-01-30,6034,6055,-0.35,168500,124200,True,44300
1335,2013-02-08,2013-02-07,5903,5938,-0.59,192600,157600,True,35000
1339,2013-02-14,2013-02-13,5896,5932,-0.61,143800,142600,True,1200
1344,2013-02-21,2013-02-20,5852,5943,-1.53,159400,135400,True,24000
1347,2013-02-26,2013-02-25,5761,5854,-1.6,157400,125100,True,32300
1349,2013-02-28,2013-02-27,5693,5796,-1.79,334900,175200,True,159700
1358,2013-03-13,2013-03-12,5851,5914,-1.06,116700,115900,True,800
1360,2013-03-15,2013-03-14,5872,5908,-0.62,152200,149000,True,3200
1362,2013-03-19,2013-03-18,5745,5835,-1.53,182300,102700,True,79600
1363,2013-03-20,2013-03-19,5694,5745,-0.9,187600,182300,True,5300
1371,2013-04-03,2013-04-02,5672,5748,-1.31,140700,106400,True,34300
1373,2013-04-05,2013-04-04,5553,5574,-0.39,137500,134600,True,2900
1375,2013-04-09,2013-04-08,5495,5542,-0.86,138200,97000,True,41200
1402,2013-05-21,2013-05-20,6114,6156,-0.7,130600,122300,True,8300
1403,2013-05-22,2013-05-21,6094,6114,-0.32,133800,130600,True,3200
1404,2013-05-23,2013-05-22,5967,6094,-2.09,198900,133800,True,65100
1412,2013-06-04,2013-06-03,5919,5939,-0.33,114500,112100,True,2400
1415,2013-06-07,2013-06-06,5881,5921,-0.68,118300,114200,True,4100
1417,2013-06-11,2013-06-10,5788,5878,-1.52,180900,100100,True,80800
1419,2013-06-13,2013-06-12,5699,5760,-1.06,142000,140400,True,1600
1422,2013-06-18,2013-06-17,5813,5850,-0.62,117500,107200,True,10300
1424,2013-06-20,2013-06-19,5655,5822,-2.86,198400,115500,True,82900
1426,2013-06-24,2013-06-21,5590,5667,-1.37,193500,182400,True,11100
1432,2013-07-02,2013-07-01,5857,5898,-0.7,145700,144800,True,900
1433,2013-07-03,2013-07-02,5770,5857,-1.48,160500,145700,True,14800
1436,2013-07-08,2013-07-05,5811,5867,-0.96,127600,123600,True,4000
1438,2013-07-10,2013-07-09,5816,5859,-0.72,117500,110400,True,7100
1442,2013-07-16,2013-07-15,5955,6030,-1.25,151200,116300,True,34900
1448,2013-07-24,2013-07-23,5990,6077,-1.44,151900,126500,True,25400
1449,2013-07-25,2013-07-24,5907,5990,-1.39,237100,151900,True,85200
1452,2013-07-30,2013-07-29,5755,5831,-1.31,181500,173400,True,8100
1453,2013-07-31,2013-07-30,5742,5755,-0.23,235500,181500,True,54000
1455,2013-08-02,2013-08-01,5677,5727,-0.87,222500,216800,True,5700
1457,2013-08-06,2013-08-05,5542,5685,-2.52,216200,197200,True,19000
1458,2013-08-07,2013-08-06,5519,5542,-0.42,245000,216200,True,28800
1463,2013-08-16,2013-08-14,5507,5742,-4.08,248100,223700,True,24400
1465,2013-08-20,2013-08-19,5401,5414,-0.25,261100,219700,True,41400
1470,2013-08-27,2013-08-26,5287,5476,-3.45,306000,242000,True,64000
1475,2013-09-03,2013-09-02,5341,5550,-3.77,250300,214200,True,36100
1481,2013-09-12,2013-09-11,5850,5913,-1.06,273000,265000,True,8000
1487,2013-09-20,2013-09-19,6012,6115,-1.69,318600,287200,True,31400
1490,2013-09-25,2013-09-24,5873,5892,-0.32,200200,187600,True,12600
1503,2013-10-15,2013-10-14,6089,6112,-0.39,218300,142200,True,76100
1504,2013-10-17,2013-10-15,6045,6089,-0.71,230600,218300,True,12300
1508,2013-10-23,2013-10-22,6178,6202,-0.39,188300,161900,True,26400
1511,2013-10-28,2013-10-25,6101,6144,-0.71,146300,144500,True,1800
1518,2013-11-07,2013-11-06,6187,6215,-0.45,168800,157100,True,11700
1521,2013-11-12,2013-11-11,6018,6078,-1.0,153800,146100,True,7700
1522,2013-11-13,2013-11-12,5989,6018,-0.47,162500,153800,True,8700
1530,2013-11-26,2013-11-25,6059,6115,-0.92,150700,127200,True,23500
1535,2013-12-03,2013-12-02,6201,6217,-0.26,156900,145900,True,11000
1536,2013-12-04,2013-12-03,6160,6201,-0.66,186200,156900,True,29300
1540,2013-12-10,2013-12-09,6332,6363,-0.49,242400,198300,True,44100
1542,2013-12-12,2013-12-11,6237,6307,-1.12,148500,148200,True,300
1543,2013-12-13,2013-12-12,6168,6237,-1.1,169700,148500,True,21200
1545,2013-12-17,2013-12-16,6139,6154,-0.25,154200,146500,True,7700
1547,2013-12-19,2013-12-18,6166,6217,-0.81,437000,243300,True,193700
1553,2013-12-30,2013-12-27,6291,6313,-0.36,101300,96900,True,4400
1559,2014-01-07,2014-01-06,6162,6191,-0.47,138600,118300,True,20300
1567,2014-01-17,2014-01-16,6261,6318,-0.91,167700,153400,True,14300
1572,2014-01-24,2014-01-23,6266,6345,-1.24,160300,120100,True,40200
